"datetime","open","high","low","close","Hp","Lp"
1630904340,51675.81,51714.08,51674.6,51704.31,51776.4414,51267.3125
1630904400,51704.31,51704.31,51681.59,51687.2,51872.5703,51425.5273
1630904460,51687.2,51699.22,51682.87,51695.23,51872.5703,51425.5273
1630904520,51695.23,51709.56,51695.23,51705.06,51872.5703,51425.5273
1630904580,51705.06,51705.07,51685,51698.84,51872.5703,51425.5273
1630904640,51698.84,51714.54,51681.2,51681.2,51872.5703,51425.5273
1630904700,51681.21,51692.74,51672.01,51673.66,51872.5703,51425.5273
1630904760,51673.65,51673.65,51643.71,51650,51872.5703,51425.5273
1630904820,51649.99,51657,51639.1,51640.07,51872.5703,51425.5273
1630904880,51640.07,51657,51640.07,51640.22,51872.5703,51425.5273
1630904940,51640.21,51649.76,51640.08,51647.62,51872.5703,51425.5273
1630905000,51647.62,51647.62,51640.12,51640.13,51872.5703,51425.5273
1630905060,51640.12,51656.78,51640.1,51651.6,51872.5703,51425.5273
1630905120,51651.6,51674.94,51651.6,51674.93,51872.5703,51425.5273
1630905180,51674.94,51697.74,51668.68,51675.35,51872.5703,51425.5273
1630905240,51675.35,51675.36,51656.66,51663.41,51872.5703,51425.5273
1630905300,51663.41,51686.1,51660,51686.09,51872.5703,51425.5273
1630905360,51686.09,51700,51680.12,51699.83,51872.5703,51425.5273
1630905420,51699.83,51715,51696.65,51713.66,51872.5703,51425.5273
1630905480,51713.67,51737.73,51711.68,51730.58,51872.5703,51425.5273
1630905540,51730.59,51749.42,51730.58,51743.87,51872.5703,51425.5273
1630905600,51743.87,51743.89,51721.86,51743.89,51872.5703,51425.5273
1630905660,51743.89,51800,51743.88,51788.62,51872.5703,51425.5273
1630905720,51788.62,51790.07,51770.67,51784,51872.5703,51425.5273
1630905780,51783.99,51791.03,51780.04,51783.02,51872.5703,51425.5273
1630905840,51783.03,51788.67,51772.5,51781.35,51872.5703,51425.5273
1630905900,51779.26,51782.87,51763.39,51770.75,51872.5703,51425.5273
1630905960,51770.74,51782.87,51770.65,51782.86,51872.5703,51425.5273
1630906020,51782.86,51794.71,51777,51787.76,51872.5703,51425.5273
1630906080,51787.76,51790,51777.49,51789.01,51872.5703,51425.5273
1630906140,51789.01,51794.99,51780.99,51782.94,51872.5703,51425.5273
1630906200,51782.93,51782.94,51752.49,51752.5,51872.5703,51425.5273
1630906260,51752.49,51770,51751.98,51763.48,51872.5703,51425.5273
1630906320,51763.48,51780,51758.94,51768.85,51872.5703,51425.5273
1630906380,51768.85,51768.85,51758.95,51759.56,51872.5703,51425.5273
1630906440,51760,51772.09,51756.74,51757.63,51872.5703,51425.5273
1630906500,51757.62,51776.86,51755.83,51776.1,51872.5703,51425.5273
1630906560,51776.11,51776.11,51760,51761.83,51872.5703,51425.5273
1630906620,51761.83,51774.33,51756.95,51757.69,51872.5703,51425.5273
1630906680,51757.7,51757.7,51735,51737.54,51872.5703,51425.5273
1630906740,51737.53,51746.06,51735.62,51743.54,51872.5703,51425.5273
1630906800,51743.54,51743.55,51732.29,51736.64,51872.5703,51425.5273
1630906860,51736,51736.01,51719.99,51725.13,51872.5703,51425.5273
1630906920,51725.13,51744.97,51720.77,51729.6,51872.5703,51425.5273
1630906980,51729.6,51742.87,51727.21,51735,51872.5703,51425.5273
1630907040,51735.01,51785.48,51732.99,51778.24,51872.5703,51425.5273
1630907100,51778.24,51785.48,51775.79,51775.79,51872.5703,51425.5273
1630907160,51775.79,51783.54,51774.08,51783.53,51872.5703,51425.5273
1630907220,51783.54,51789.26,51764.91,51764.91,51872.5703,51425.5273
1630907280,51764.63,51769.99,51747.44,51748.02,51872.5703,51425.5273
1630907340,51748.03,51764.92,51745.01,51755.01,51872.5703,51425.5273
1630907400,51755.01,51774.69,51755.01,51761.58,51872.5703,51425.5273
1630907460,51761.57,51780.6,51757.98,51770.02,51872.5703,51425.5273
1630907520,51770.02,51772.98,51760.25,51763.22,51872.5703,51425.5273
1630907580,51763.22,51779.27,51760.89,51766.23,51872.5703,51425.5273
1630907640,51766.22,51780,51764.12,51779.66,51872.5703,51425.5273
1630907700,51779.67,51779.67,51758.16,51758.16,51872.5703,51425.5273
1630907760,51758.16,51776.85,51755.01,51773.98,51872.5703,51425.5273
1630907820,51773.98,51778.99,51760,51760,51872.5703,51425.5273
1630907880,51760,51776.24,51760,51773.97,51872.5703,51425.5273
