num,time,side,lot,sym,o,c,pip,size,pips
104416728,2022-03-07 17:46:09,SELL,0.0044,AUDCAD,0.94129,0.93752,0.13,1.2,0.13 pips
104416685,2022-03-07 17:46:21,SELL,0.0044,AUDCAD,0.94129,0.93753,0.13,1.19,0.13 pips
104416643,2022-03-07 17:46:00,SELL,0.0019,AUDCAD,0.94128,0.93763,0.05,0.5,0.05 pips
104416601,2022-03-07 17:46:14,SELL,0.0044,AUDCAD,0.94128,0.93761,0.13,1.16,0.13 pips
104416559,2022-03-07 17:44:43,SELL,0.0019,AUDCAD,0.94128,0.93716,0.06,0.56,0.06 pips
104416517,2022-03-07 17:44:48,SELL,0.0019,AUDCAD,0.9413,0.93715,0.06,0.57,0.06 pips
104416475,2022-03-07 14:37:41,SELL,0.0046,AUDCAD,0.94135,0.93974,0.06,0.53,0.06 pips
104416433,2022-03-07 14:37:42,SELL,0.0046,AUDCAD,0.94136,0.93975,0.06,0.53,0.06 pips
104416391,2022-03-07 17:46:04,SELL,0.0019,AUDCAD,0.94135,0.93756,0.06,0.52,0.06 pips
104416347,2022-03-07 14:37:42,SELL,0.0046,AUDCAD,0.94135,0.93975,0.06,0.53,0.06 pips
104416305,2022-03-07 17:44:32,SELL,0.0019,AUDCAD,0.94136,0.93718,0.06,0.57,0.06 pips
104416262,2022-03-07 17:46:22,SELL,0.0019,AUDCAD,0.94137,0.93753,0.06,0.53,0.06 pips
104416219,2022-03-07 17:46:22,SELL,0.0019,AUDCAD,0.94137,0.93749,0.06,0.53,0.06 pips
104416176,2022-03-07 17:44:27,SELL,0.0019,AUDCAD,0.94137,0.93723,0.06,0.57,0.06 pips
104416132,2022-03-07 17:44:23,SELL,0.0019,AUDCAD,0.94139,0.93713,0.06,0.58,0.06 pips
104416089,2022-03-07 17:46:18,SELL,0.0019,AUDCAD,0.94139,0.93756,0.06,0.52,0.06 pips
104416047,2022-03-07 17:44:18,SELL,0.0019,AUDCAD,0.94139,0.93723,0.06,0.57,0.06 pips
104416005,2022-03-07 14:37:42,SELL,0.0019,AUDCAD,0.94135,0.93971,0.02,0.22,0.02 pips
104415963,2022-03-07 14:37:43,SELL,0.0019,AUDCAD,0.94134,0.93971,0.02,0.22,0.02 pips
104415921,2022-03-07 14:37:43,SELL,0.0019,AUDCAD,0.94135,0.93971,0.02,0.22,0.02 pips
104146243,2022-03-03 10:50:36,BUY,0.0013,XAUUSD,1929.53,1932.57,0.04,0.36,0.04 pips
104146201,2022-03-03 10:50:39,BUY,0.0013,XAUUSD,1929.48,1932.18,0.03,0.32,0.03 pips
104146159,2022-03-03 10:50:43,BUY,0.0013,XAUUSD,1929.48,1932.09,0.03,0.31,0.03 pips
103859698,2022-03-01 00:37:44,DEPOSIT,0,0,,,,,
103859697,2022-03-01 00:37:44,DEPOSIT,0,0.01,,,,,
103271264,2022-02-24 05:30:00,SELL,0.004,NZDCAD,0.8621,0.85845,0.11,1,0.11 pips
103271160,2022-02-24 04:13:42,SELL,0.0251,NZDCAD,0.86213,0.85973,0.46,4.08,0.46 pips
103271085,2022-02-24 05:45:01,SELL,0.004,NZDCAD,0.86211,0.85826,0.12,1.06,0.12 pips
103270988,2022-02-24 04:14:03,SELL,0.0252,NZDCAD,0.86207,0.85964,0.47,4.15,0.47 pips
103270770,2022-02-24 16:00:00,SELL,0.004,NZDCAD,0.86221,0.8569,0.16,1.47,0.16 pips
103270641,2022-02-24 04:12:58,SELL,0.0251,NZDCAD,0.86238,0.85985,0.48,4.31,0.48 pips
103255782,2022-02-24 15:00:00,SELL,0.0041,NZDCAD,0.86057,0.85825,0.07,0.64,0.07 pips
103204358,2022-02-24 04:13:43,SELL,0.0103,NZDCAD,0.85865,0.85973,-0.09,-0.83,-0.09 pips
103204133,2022-02-24 04:14:04,SELL,0.0103,NZDCAD,0.85866,0.8596,-0.08,-0.73,-0.08 pips
103199002,2022-02-24 04:12:58,SELL,0.0103,NZDCAD,0.85798,0.85985,-0.16,-1.4,-0.16 pips
103061125,2022-02-22 00:05:01,SELL,0.0041,NZDCAD,0.85684,0.85517,0.05,0.47,0.05 pips
102957857,2022-02-24 04:13:43,SELL,0.0042,NZDCAD,0.85344,0.8598,-0.21,-1.89,-0.21 pips
102957776,2022-02-22 01:24:10,SELL,0.0042,NZDCAD,0.8535,0.85311,0.01,0.1,0.01 pips
102957700,2022-02-21 02:30:03,SELL,0.0042,NZDCAD,0.8535,0.85273,0.02,0.22,0.02 pips
